E000..E03F; Trans7 (Selebrita Heits)
E040..E13F; Trans7 (Trending)
E140..E1FF; Trans7 (Enah Bikin Enak)
E200..E23F; Trans7 (Selebrita Siang)
E240..E2BF; Trans7 (Redaksi Siang)
E2C0..E37F; Trans7 (Si Bolang)
E380..E43F; Trans7 (Indonesiaku)
E440..E53F; Trans7 (Redaksi)
E540..E5FF; Trans7 (Redaksi Daerah)
E600..E67F; Trans7 (Si Gendul)
E680..E6BF; Trans7 (Makan Receh)
E6C0..E73F; Trans7 (Selebrita Expose)
E740..E7FF; Trans7 (On The Spot)
E800..F8FF; Private Use Area

# EOF
