F3774	POYUNESE SMALL IDEOGRAPH-34
F3775	POYUNESE SMALL IDEOGRAPH-35
F3776	POYUNESE SMALL IDEOGRAPH-36
F3777	POYUNESE SMALL IDEOGRAPH-37
F3778	POYUNESE SMALL IDEOGRAPH-38
F3779	POYUNESE SMALL IDEOGRAPH-39
F377A	POYUNESE SMALL IDEOGRAPH-3A
F377B	POYUNESE SMALL IDEOGRAPH-3B
F377C	POYUNESE SMALL IDEOGRAPH-3C
F377D	POYUNESE SMALL IDEOGRAPH-3D
F377E	POYUNESE SMALL IDEOGRAPH-3E
F377F	POYUNESE SMALL IDEOGRAPH-3F
F3780	POYUNESE CAPITAL SYMBOL-00
F3781	POYUNESE CAPITAL SYMBOL-01
F3782	POYUNESE CAPITAL SYMBOL-02
F3783	POYUNESE CAPITAL SYMBOL-03
F3784	POYUNESE CAPITAL SYMBOL-04
F3785	POYUNESE CAPITAL SYMBOL-05
F3786	POYUNESE CAPITAL SYMBOL-06
F3787	POYUNESE CAPITAL SYMBOL-07
F3788	POYUNESE CAPITAL SYMBOL-08
F3789	POYUNESE CAPITAL SYMBOL-09
F378A	POYUNESE CAPITAL SYMBOL-0A
F378B	POYUNESE CAPITAL SYMBOL-0B
F378C	POYUNESE CAPITAL SYMBOL-0C
F378D	POYUNESE CAPITAL SYMBOL-0D
F378E	POYUNESE CAPITAL SYMBOL-0E
F378F	POYUNESE CAPITAL SYMBOL-0F
F3790	POYUNESE CAPITAL SYMBOL-10
F3791	POYUNESE CAPITAL SYMBOL-11
F3792	POYUNESE CAPITAL SYMBOL-12
F3793	POYUNESE CAPITAL SYMBOL-13
F3794	POYUNESE CAPITAL SYMBOL-14
F3795	POYUNESE CAPITAL SYMBOL-15
F3796	POYUNESE CAPITAL SYMBOL-16
F3797	POYUNESE CAPITAL SYMBOL-17
F3798	POYUNESE CAPITAL SYMBOL-18
F3799	POYUNESE CAPITAL SYMBOL-19
F379A	POYUNESE CAPITAL SYMBOL-1A
F379B	POYUNESE CAPITAL SYMBOL-1B
F379C	POYUNESE CAPITAL SYMBOL-1C
F379D	POYUNESE CAPITAL SYMBOL-1D
F379E	POYUNESE CAPITAL SYMBOL-1E
F379F	POYUNESE CAPITAL SYMBOL-1F
F37A0	POYUNESE CAPITAL SYMBOL-20
F37A1	POYUNESE CAPITAL SYMBOL-21
F37A2	POYUNESE CAPITAL SYMBOL-22
F37A3	POYUNESE CAPITAL SYMBOL-23
F37A4	POYUNESE CAPITAL SYMBOL-24
F37A5	POYUNESE CAPITAL SYMBOL-25
F37A6	POYUNESE CAPITAL SYMBOL-26
F37A7	POYUNESE CAPITAL SYMBOL-27
F37A8	POYUNESE CAPITAL SYMBOL-28
F37A9	POYUNESE CAPITAL SYMBOL-29
F37AA	POYUNESE CAPITAL SYMBOL-2A
F37AB	POYUNESE CAPITAL SYMBOL-2B
F37AC	POYUNESE CAPITAL SYMBOL-2C
F37AD	POYUNESE CAPITAL SYMBOL-2D
F37AE	POYUNESE CAPITAL SYMBOL-2E
F37AF	POYUNESE CAPITAL SYMBOL-2F
F37B0	POYUNESE CAPITAL SYMBOL-30
F37B1	POYUNESE CAPITAL SYMBOL-31
F37B2	POYUNESE CAPITAL SYMBOL-32
F37B3	POYUNESE CAPITAL SYMBOL-33
F37B4	POYUNESE CAPITAL SYMBOL-34
F37B5	POYUNESE CAPITAL SYMBOL-35
F37B6	POYUNESE CAPITAL SYMBOL-36
F37B7	POYUNESE CAPITAL SYMBOL-37
F37B8	POYUNESE CAPITAL SYMBOL-38
F37B9	POYUNESE CAPITAL SYMBOL-39
F37BA	POYUNESE CAPITAL SYMBOL-3A
F37BB	POYUNESE CAPITAL SYMBOL-3B
F37BC	POYUNESE CAPITAL SYMBOL-3C
F37BD	POYUNESE CAPITAL SYMBOL-3D
F37BE	POYUNESE CAPITAL SYMBOL-3E
F37BF	POYUNESE CAPITAL SYMBOL-3F
F37C0	POYUNESE SMALL SYMBOL-00
F37C1	POYUNESE SMALL SYMBOL-01
F37C2	POYUNESE SMALL SYMBOL-02
F37C3	POYUNESE SMALL SYMBOL-03
F37C4	POYUNESE SMALL SYMBOL-04
F37C5	POYUNESE SMALL SYMBOL-05
F37C6	POYUNESE SMALL SYMBOL-06
F37C7	POYUNESE SMALL SYMBOL-07
F37C8	POYUNESE SMALL SYMBOL-08
F37C9	POYUNESE SMALL SYMBOL-09
F37CA	POYUNESE SMALL SYMBOL-0A
F37CB	POYUNESE SMALL SYMBOL-0B
F37CC	POYUNESE SMALL SYMBOL-0C
F37CD	POYUNESE SMALL SYMBOL-0D
F37CE	POYUNESE SMALL SYMBOL-0E
F37CF	POYUNESE SMALL SYMBOL-0F
F37D0	POYUNESE SMALL SYMBOL-10
F37D1	POYUNESE SMALL SYMBOL-11
F37D2	POYUNESE SMALL SYMBOL-12
F37D3	POYUNESE SMALL SYMBOL-13
F37D4	POYUNESE SMALL SYMBOL-14
F37D5	POYUNESE SMALL SYMBOL-15
F37D6	POYUNESE SMALL SYMBOL-16
F37D7	POYUNESE SMALL SYMBOL-17
F37D8	POYUNESE SMALL SYMBOL-18
F37D9	POYUNESE SMALL SYMBOL-19
F37DA	POYUNESE SMALL SYMBOL-1A
F37DB	POYUNESE SMALL SYMBOL-1B
F37DC	POYUNESE SMALL SYMBOL-1C
F37DD	POYUNESE SMALL SYMBOL-1D
F37DE	POYUNESE SMALL SYMBOL-1E
F37DF	POYUNESE SMALL SYMBOL-1F
F37E0	POYUNESE SMALL SYMBOL-20
F37E1	POYUNESE SMALL SYMBOL-21
F37E2	POYUNESE SMALL SYMBOL-22
F37E3	POYUNESE SMALL SYMBOL-23
F37E4	POYUNESE SMALL SYMBOL-24
F37E5	POYUNESE SMALL SYMBOL-25
F37E6	POYUNESE SMALL SYMBOL-26
F37E7	POYUNESE SMALL SYMBOL-27
F37E8	POYUNESE SMALL SYMBOL-28
F37E9	POYUNESE SMALL SYMBOL-29
F37EA	POYUNESE SMALL SYMBOL-2A
F37EB	POYUNESE SMALL SYMBOL-2B
F37EC	POYUNESE SMALL SYMBOL-2C
F37ED	POYUNESE SMALL SYMBOL-2D
F37EE	POYUNESE SMALL SYMBOL-2E
F37EF	POYUNESE SMALL SYMBOL-2F
F37F0	POYUNESE SMALL SYMBOL-30
F37F1	POYUNESE SMALL SYMBOL-31
F37F2	POYUNESE SMALL SYMBOL-32
F37F3	POYUNESE SMALL SYMBOL-33
F37F4	POYUNESE SMALL SYMBOL-34
F37F5	POYUNESE SMALL SYMBOL-35
F37F6	POYUNESE SMALL SYMBOL-36
F37F7	POYUNESE SMALL SYMBOL-37
F37F8	POYUNESE SMALL SYMBOL-38
F37F9	POYUNESE SMALL SYMBOL-39
F37FA	POYUNESE SMALL SYMBOL-3A
F37FB	POYUNESE SMALL SYMBOL-3B
F37FC	POYUNESE SMALL SYMBOL-3C
F37FD	POYUNESE SMALL SYMBOL-3D
F37FE	POYUNESE SMALL SYMBOL-3E
F37FF	POYUNESE SMALL SYMBOL-3F
